@relation accelerometer_features

@attribute m1 numeric
@attribute m2 numeric
@attribute m3 numeric
@attribute m4 numeric
@attribute m5 numeric
@attribute m6 numeric
@attribute m7 numeric
@attribute m8 numeric
@attribute m9 numeric
@attribute m10 numeric
@attribute m11 numeric
@attribute m12 numeric
@attribute m13 numeric
@attribute m14 numeric
@attribute m15 numeric
@attribute m16 numeric
@attribute m17 numeric
@attribute m18 numeric
@attribute m19 numeric
@attribute m20 numeric
@attribute m21 numeric
@attribute m22 numeric
@attribute m23 numeric
@attribute m24 numeric
@attribute m25 numeric
@attribute m26 numeric
@attribute m27 numeric
@attribute m28 numeric
@attribute m29 numeric
@attribute m30 numeric
@attribute m31 numeric
@attribute m32 numeric
@attribute m33 numeric
@attribute m34 numeric
@attribute m35 numeric
@attribute m36 numeric
@attribute m37 numeric
@attribute m38 numeric
@attribute m39 numeric
@attribute m40 numeric
@attribute m41 numeric
@attribute m42 numeric
@attribute m43 numeric
@attribute m44 numeric
@attribute m45 numeric
@attribute m46 numeric
@attribute m47 numeric
@attribute m48 numeric
@attribute m49 numeric
@attribute m50 numeric
@attribute m51 numeric
@attribute m52 numeric
@attribute m53 numeric
@attribute m54 numeric
@attribute m55 numeric
@attribute m56 numeric
@attribute m57 numeric
@attribute m58 numeric
@attribute m59 numeric
@attribute m60 numeric
@attribute m61 numeric
@attribute m62 numeric
@attribute m63 numeric
@attribute m64 numeric
@attribute max numeric
@attribute min numeric
@attribute mean numeric
@attribute ex {Jump_up,Frontal_elevation_of_arms,Knees_bending_(crouching),Other}

@data
241.493757,84.614991,85.096902,53.248371,53.003285,17.355042,31.045998,21.261642,6.000826,7.710525,12.00248,4.8087,3.662532,5.068548,5.538496,6.561229,0.453379,2.41494,3.971697,8.630576,5.319419,0.180975,3.547281,8.023455,2.55131,5.008854,3.744243,5.420083,2.61088,4.841809,2.845385,4.858629,2.48185,4.858629,2.845385,4.841809,2.61088,5.420083,3.744243,5.008854,2.55131,8.023455,3.547281,0.180975,5.319419,8.630576,3.971697,2.41494,0.453379,6.561229,5.538496,5.068548,3.662532,4.8087,12.00248,7.710525,6.000826,21.261642,31.045998,17.355042,53.003285,53.248371,85.096902,84.614991,13.690349,0.53571,3.77334,Frontal_elevation_of_arms
380.164731,79.725452,35.059084,55.848592,42.2737,18.304083,17.35243,9.689631,3.391219,4.697156,4.017557,5.935809,2.872326,3.933824,1.081046,4.732194,1.290087,5.465358,1.891281,1.429094,1.506797,1.790111,1.0347,1.696948,0.987,0.798355,0.891488,0.974544,0.272351,1.777845,0.197692,1.786675,0.121915,1.786675,0.197692,1.777845,0.272351,0.974544,0.891488,0.798355,0.987,1.696948,1.0347,1.790111,1.506797,1.429094,1.891281,5.465358,1.290087,4.732194,1.081046,3.933824,2.872326,5.935809,4.017557,4.697156,3.391219,9.689631,17.35243,18.304083,42.2737,55.848592,35.059084,79.725452,11.785707,1.734394,5.940074,Frontal_elevation_of_arms
281.430218,132.847897,56.894413,26.393784,27.14231,29.127423,8.781317,8.555285,7.513554,7.930409,5.406509,6.160888,8.121591,2.717424,2.792533,1.902816,1.9651,4.405811,1.937653,3.668647,3.214972,2.37053,2.24184,1.788326,2.744608,2.123178,2.020183,2.226079,1.38126,2.742853,1.815825,1.500191,2.039426,1.500191,1.815825,2.742853,1.38126,2.226079,2.020183,2.123178,2.744608,1.788326,2.24184,2.37053,3.214972,3.668647,1.937653,4.405811,1.9651,1.902816,2.792533,2.717424,8.121591,6.160888,5.406509,7.930409,7.513554,8.555285,8.781317,29.127423,27.14231,26.393784,56.894413,132.847897,11.652055,0.851977,4.397347,Frontal_elevation_of_arms
390.367238,91.472205,20.747574,63.823487,26.046989,16.836233,19.673118,19.182219,4.949233,10.070011,10.185294,7.365939,7.192809,8.140034,5.747002,1.129893,6.41161,3.62452,6.382133,4.409973,3.902378,2.379619,5.075023,0.999284,3.528606,2.100578,4.623803,0.175303,5.681576,0.506312,3.577472,0.482578,6.170506,0.482578,3.577472,0.506312,5.681576,0.175303,4.623803,2.100578,3.528606,0.999284,5.075023,2.379619,3.902378,4.409973,6.382133,3.62452,6.41161,1.129893,5.747002,8.140034,7.192809,7.365939,10.185294,10.070011,4.949233,19.182219,19.673118,16.836233,26.046989,63.823487,20.747574,91.472205,10.511674,1.394842,6.099488,Frontal_elevation_of_arms
232.397886,88.65787,27.406226,17.795003,27.061763,21.452954,9.145097,8.225413,3.63954,3.138037,3.954599,5.442981,4.151738,2.822543,3.436356,2.541143,3.541322,3.518024,2.700237,3.875604,2.284606,2.826464,2.732487,1.959355,2.247497,2.607468,1.892161,1.919442,2.266521,1.933889,2.21229,1.858231,1.564473,1.858231,2.21229,1.933889,2.266521,1.919442,1.892161,2.607468,2.247497,1.959355,2.732487,2.826464,2.284606,3.875604,2.700237,3.518024,3.541322,2.541143,3.436356,2.822543,4.151738,5.442981,3.954599,3.138037,3.63954,8.225413,9.145097,21.452954,27.061763,17.795003,27.406226,88.65787,7.925481,1.328355,3.631217,Frontal_elevation_of_arms
367.136654,108.204121,28.917714,76.618685,43.702712,6.021648,20.581739,21.099383,2.754938,9.905428,12.328764,3.083853,4.305838,8.662686,3.51295,2.479002,4.009616,3.780746,3.493804,2.396088,4.189605,2.967427,2.817131,1.995842,3.404414,2.255955,2.690488,2.530529,2.725674,2.270205,2.931561,2.249593,2.168693,2.249593,2.931561,2.270205,2.725674,2.530529,2.690488,2.255955,3.404414,1.995842,2.817131,2.967427,4.189605,2.396088,3.493804,3.780746,4.009616,2.479002,3.51295,8.662686,4.305838,3.083853,12.328764,9.905428,2.754938,21.099383,20.581739,6.021648,43.702712,76.618685,28.917714,108.204121,10.695941,0.82327,5.73651,Frontal_elevation_of_arms
246.18429,87.40913,39.878708,60.1741,43.136071,22.220361,14.585596,3.499741,3.408764,3.000852,4.465464,4.578861,1.394363,0.81213,2.916881,2.624841,2.654662,2.747694,3.075483,2.388517,2.051205,2.592892,1.909016,2.055023,2.294764,2.178884,1.815265,2.068418,2.477436,1.924973,1.786783,2.270636,2.257977,2.270636,1.786783,1.924973,2.477436,2.068418,1.815265,2.178884,2.294764,2.055023,1.909016,2.592892,2.051205,2.388517,3.075483,2.747694,2.654662,2.624841,2.916881,0.81213,1.394363,4.578861,4.465464,3.000852,3.408764,3.499741,14.585596,22.220361,43.136071,60.1741,39.878708,87.40913,11.360171,0.436234,3.84663,Frontal_elevation_of_arms
337.459893,81.427556,19.134836,54.950646,47.703691,17.867254,26.372633,0.340537,8.018874,6.941061,9.622471,5.740549,1.675773,6.729466,2.347301,2.762986,3.781385,1.622064,3.523224,2.454721,2.737518,3.064821,2.640857,2.219575,2.707814,2.32145,2.42115,1.727088,2.325707,2.147767,2.002792,2.301843,2.16968,2.301843,2.002792,2.147767,2.325707,1.727088,2.42115,2.32145,2.707814,2.219575,2.640857,3.064821,2.737518,2.454721,3.523224,1.622064,3.781385,2.762986,2.347301,6.729466,1.675773,5.740549,9.622471,6.941061,8.018874,0.340537,26.372633,17.867254,47.703691,54.950646,19.134836,81.427556,12.208574,1.457799,5.272811,Frontal_elevation_of_arms
225.851354,81.372781,48.114755,32.969765,27.367447,25.702521,17.566343,12.096824,3.796625,0.29722,3.865064,2.033948,3.546175,3.122127,2.38537,2.003661,1.957197,2.632902,2.391068,2.283983,2.082827,2.415655,1.939404,1.660459,1.883586,1.603449,1.791574,1.379904,1.614278,1.271508,1.6981,1.248585,1.810991,1.248585,1.6981,1.271508,1.614278,1.379904,1.791574,1.603449,1.883586,1.660459,1.939404,2.415655,2.082827,2.283983,2.391068,2.632902,1.957197,2.003661,2.38537,3.122127,3.546175,2.033948,3.865064,0.29722,3.796625,12.096824,17.566343,25.702521,27.367447,32.969765,48.114755,81.372781,9.918198,0.993326,3.528927,Frontal_elevation_of_arms
405.02724,115.021468,27.390466,55.13094,60.374055,25.533823,33.825462,17.774207,12.606965,13.299761,8.535629,4.961018,9.155902,6.426946,1.257098,5.054674,2.082562,3.316952,0.887921,0.593091,1.347148,0.999194,0.77615,1.206601,0.754803,1.018171,0.871438,1.209488,1.441362,1.317001,0.843724,0.456341,0.314021,0.456341,0.843724,1.317001,1.441362,1.209488,0.871438,1.018171,0.754803,1.206601,0.77615,0.999194,1.347148,0.593091,0.887921,3.316952,2.082562,5.054674,1.257098,6.426946,9.155902,4.961018,8.535629,13.299761,12.606965,17.774207,33.825462,25.533823,60.374055,55.13094,27.390466,115.021468,14.48783,1.509635,6.328551,Frontal_elevation_of_arms
226.298922,65.564784,60.39331,19.849925,28.840783,21.735899,14.235223,6.648894,8.604951,4.969469,5.613558,3.396765,4.343379,3.286379,3.328163,2.980719,3.480648,2.465419,1.830587,2.582511,2.104426,2.115345,1.523666,1.63194,1.557758,2.206475,1.833636,1.841129,1.743504,1.703057,1.488216,1.263204,1.202523,1.263204,1.488216,1.703057,1.743504,1.841129,1.833636,2.206475,1.557758,1.63194,1.523666,2.115345,2.104426,2.582511,1.830587,2.465419,3.480648,2.980719,3.328163,3.286379,4.343379,3.396765,5.613558,4.969469,8.604951,6.648894,14.235223,21.735899,28.840783,19.849925,60.39331,65.564784,9.967417,1.339846,3.535921,Frontal_elevation_of_arms
457.178152,33.676375,5.09958,71.488855,39.12256,6.292532,12.404049,2.041213,9.936682,5.373295,13.011202,10.185716,0.923997,3.672584,1.974715,2.227405,2.039617,1.067176,1.621072,1.082327,1.588941,1.472811,2.270543,1.451196,1.858529,2.447578,0.661796,2.11049,1.445583,1.600394,1.242539,2.342822,1.130571,2.342822,1.242539,1.600394,1.445583,2.11049,0.661796,2.447578,1.858529,1.451196,2.270543,1.472811,1.588941,1.082327,1.621072,1.067176,2.039617,2.227405,1.974715,3.672584,0.923997,10.185716,13.011202,5.373295,9.936682,2.041213,12.404049,6.292532,39.12256,71.488855,5.09958,33.676375,12.072641,4.043904,7.143409,Frontal_elevation_of_arms
492.475992,70.150783,40.383051,8.281605,81.080537,48.889058,15.025108,18.496141,17.346373,31.957598,22.68346,15.373374,15.396764,5.906669,4.282152,1.137848,4.014149,2.758626,1.275949,1.241655,0.399483,1.884697,2.328603,1.665357,2.404946,1.227032,2.485078,1.705067,2.54698,1.006292,0.492657,0.372702,1.916384,0.372702,0.492657,1.006292,2.54698,1.705067,2.485078,1.227032,2.404946,1.665357,2.328603,1.884697,0.399483,1.241655,1.275949,2.758626,4.014149,1.137848,4.282152,5.906669,15.396764,15.373374,22.68346,31.957598,17.346373,18.496141,15.025108,48.889058,81.080537,8.281605,40.383051,70.150783,16.897495,1.165659,7.694937,Frontal_elevation_of_arms
481.081135,19.886705,24.800903,45.041151,99.445469,13.111567,28.394926,38.192283,11.413412,12.41874,10.474852,6.817568,0.84797,4.01139,3.380598,4.113267,2.561658,4.007575,3.303692,0.679781,2.016353,1.311574,0.754396,0.730272,1.082502,0.836591,1.306558,1.798326,1.541969,0.887919,1.144597,0.972711,0.989909,0.972711,1.144597,0.887919,1.541969,1.798326,1.306558,0.836591,1.082502,0.730272,0.754396,1.311574,2.016353,0.679781,3.303692,4.007575,2.561658,4.113267,3.380598,4.01139,0.84797,6.817568,10.474852,12.41874,11.413412,38.192283,28.394926,13.111567,99.445469,45.041151,24.800903,19.886705,11.459667,2.073559,7.516893,Frontal_elevation_of_arms
455.699914,42.758372,24.509091,27.978622,89.240718,28.724652,29.165856,36.501031,0.592353,14.686581,15.237825,13.651187,7.219335,4.851732,5.919881,3.37683,5.292888,6.580944,4.038646,5.376887,2.983588,2.298881,3.467908,2.286262,3.596899,3.069566,1.978755,2.482236,1.932883,2.472495,2.73234,2.519602,2.569508,2.519602,2.73234,2.472495,1.932883,2.482236,1.978755,3.069566,3.596899,2.286262,3.467908,2.298881,2.983588,5.376887,4.038646,6.580944,5.292888,3.37683,5.919881,4.851732,7.219335,13.651187,15.237825,14.686581,0.592353,36.501031,29.165856,28.724652,89.240718,27.978622,24.509091,42.758372,12.531052,0.934273,7.120311,Frontal_elevation_of_arms
313.308289,78.963978,53.377759,52.460668,29.050389,12.496208,7.891368,13.880866,9.258097,13.447785,5.194489,4.073873,4.499079,3.59712,4.081707,2.708456,0.543621,3.912485,2.647716,2.702199,2.920404,1.897945,0.610969,1.747667,2.484948,1.180859,1.213403,2.778483,1.51997,0.5708,0.494171,0.518082,2.398913,0.518082,0.494171,0.5708,1.51997,2.778483,1.213403,1.180859,2.484948,1.747667,0.610969,1.897945,2.920404,2.702199,2.647716,3.912485,0.543621,2.708456,4.081707,3.59712,4.499079,4.073873,5.194489,13.447785,9.258097,13.880866,7.891368,12.496208,29.050389,52.460668,53.377759,78.963978,9.698384,0.450274,4.895442,Frontal_elevation_of_arms
109.062007,7.31795,7.232225,4.023936,5.89209,2.707191,4.760406,3.812119,3.44943,1.158714,0.343669,2.885661,0.464046,0.672165,0.738502,0.403947,0.830626,0.904968,0.562351,0.638842,0.726716,0.594277,0.974139,1.103759,0.608412,0.853715,0.97038,0.706867,0.918793,1.027366,0.876351,0.594988,0.706002,0.594988,0.876351,1.027366,0.918793,0.706867,0.97038,0.853715,0.608412,1.103759,0.974139,0.594277,0.726716,0.638842,0.562351,0.904968,0.830626,0.403947,0.738502,0.672165,0.464046,2.885661,0.343669,1.158714,3.44943,3.812119,4.760406,2.707191,5.89209,4.023936,7.232225,7.31795,2.521238,1.022659,1.704094,Frontal_elevation_of_arms
