@relation damir_test_3

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute exercise {Push-ups,Sit-ups,'Air Squat'}

@data
-4.70461,5.93044,6.26563,Push-ups
-4.51846,6.34703,6.1106,Push-ups
-0.874482,6.35002,3.92589,Push-ups
-5.14095,10.7194,2.82396,Push-ups
-8.2977,8.3396,2.11707,Push-ups
3.36505,11.2312,4.71119,Push-ups
-6.17465,7.41724,-3.25671,Push-ups
-14.7255,12.8778,14.6244,Push-ups
9.42657,4.4987,-2.14042,Push-ups
-6.56849,7.5154,2.11169,Push-ups
-19.6133,9.00519,15.7503,Push-ups
-8.05469,5.54916,6.89291,Push-ups
-19.6133,8.83879,9.5804,Push-ups
-6.62236,8.16423,-9.43794,Push-ups
-2.93469,5.55156,-3.15017,Push-ups
-11.7489,6.38953,4.68964,Push-ups
-8.57364,6.13095,2.03447,Push-ups
-8.10617,4.41611,2.44328,Push-ups
-5.83407,4.79678,1.20309,Push-ups
-8.55269,3.61764,0.575207,Push-ups
-8.34379,5.31273,-1.32878,Push-ups
-8.77056,5.57011,-0.154426,Push-ups
-8.02776,8.8376,-4.16831,Push-ups
-7.42023,6.7732,3.42012,Push-ups
-7.45195,8.43896,6.4422,Push-ups
-12.5696,8.52456,6.67324,Push-ups
1.52391,5.09067,4.29221,Push-ups
-3.32495,6.58286,7.94157,Push-ups
-2.83533,6.51223,6.90189,Push-ups
-3.43029,6.46794,7.17722,Push-ups
-3.18908,6.29017,6.70676,Push-ups
-3.62542,6.05434,6.55951,Sit-ups
-3.42491,5.56173,7.60997,Sit-ups
-8.65683,6.94678,8.02716,Sit-ups
-3.65415,-1.53708,2.83054,Sit-ups
0.07422,8.34798,1.92853,Sit-ups
-2.44328,10.5465,2.72161,Sit-ups
1.5263,11.9273,1.13904,Sit-ups
-0.732626,19.6127,-0.342371,Sit-ups
5.59106,6.87854,0.40462,Sit-ups
0.745794,5.41628,3.81875,Sit-ups
6.47572,4.4999,5.61261,Sit-ups
12.3822,2.35829,6.88393,Sit-ups
9.7869,-5.85382,7.18799,Sit-ups
7.95593,4.78302,5.47674,Sit-ups
3.16454,2.94786,0.626084,Sit-ups
9.02973,6.52959,4.2934,Sit-ups
8.752,6.12377,5.42586,Sit-ups
9.57322,2.54504,6.48829,Sit-ups
7.7231,4.38857,7.02997,Sit-ups
11.7406,-0.675165,-0.271143,Sit-ups
7.61117,15.1918,1.79326,Sit-ups
5.88914,-0.026336,7.70574,Sit-ups
7.25264,-5.64972,10.34,Sit-ups
6.33326,2.34811,6.50924,Sit-ups
4.01747,6.36439,2.77787,Sit-ups
2.0213,3.39797,3.91272,Sit-ups
6.36678,2.66953,6.49367,Sit-ups
